policy_name,policy_label,seed,scenario,scenario_label,agent_id,policy_class_name,score,infrastructure,production_sites,advanced_sites,innovation
learned_q,Learned Q policy,500006,hoarding,Hoarding,2,HoardingTradePolicy,17,8,2,1,7
learned_q,Learned Q policy,500006,hoarding,Hoarding,3,HoardingTradePolicy,36,12,2,3,10
learned_q,Learned Q policy,500006,hoarding,Hoarding,4,HoardingTradePolicy,14,6,1,1,5
learned_q,Learned Q policy,500006,mixed,Mixed,0,CooperativeTradePolicy,2,10,0,0,2
learned_q,Learned Q policy,500006,mixed,Mixed,1,HoardingTradePolicy,29,13,0,3,2
learned_q,Learned Q policy,500006,mixed,Mixed,2,CompetitiveTradePolicy,19,6,0,2,6
learned_q,Learned Q policy,500006,mixed,Mixed,3,SelfishTradePolicy,36,10,2,3,8
learned_q,Learned Q policy,500006,mixed,Mixed,4,FairnessSensitiveTradePolicy,17,7,2,1,3
learned_q,Learned Q policy,500006,need_based_to_competitive,Need-based → competitive,0,CompetitiveTradePolicy,25,10,2,2,4
learned_q,Learned Q policy,500006,need_based_to_competitive,Need-based → competitive,1,CompetitiveTradePolicy,36,11,1,3,9
learned_q,Learned Q policy,500006,need_based_to_competitive,Need-based → competitive,2,CompetitiveTradePolicy,14,7,1,1,3
learned_q,Learned Q policy,500006,need_based_to_competitive,Need-based → competitive,3,CompetitiveTradePolicy,33,10,2,3,6
learned_q,Learned Q policy,500006,need_based_to_competitive,Need-based → competitive,4,CompetitiveTradePolicy,11,11,0,1,4
learned_q,Learned Q policy,500006,cooperative_to_hoarding,Cooperative → hoarding,0,HoardingTradePolicy,14,4,1,1,4
learned_q,Learned Q policy,500006,cooperative_to_hoarding,Cooperative → hoarding,1,HoardingTradePolicy,44,16,2,4,4
learned_q,Learned Q policy,500006,cooperative_to_hoarding,Cooperative → hoarding,2,HoardingTradePolicy,20,9,3,1,3
learned_q,Learned Q policy,500006,cooperative_to_hoarding,Cooperative → hoarding,3,HoardingTradePolicy,30,8,0,3,6
learned_q,Learned Q policy,500006,cooperative_to_hoarding,Cooperative → hoarding,4,HoardingTradePolicy,11,6,0,1,5
learned_q,Learned Q policy,500007,need_based,Need-based,0,NeedBasedTradePolicy,36,15,2,3,5
learned_q,Learned Q policy,500007,need_based,Need-based,1,NeedBasedTradePolicy,25,10,2,2,3
learned_q,Learned Q policy,500007,need_based,Need-based,2,NeedBasedTradePolicy,22,8,1,2,3
learned_q,Learned Q policy,500007,need_based,Need-based,3,NeedBasedTradePolicy,20,7,2,1,6
learned_q,Learned Q policy,500007,need_based,Need-based,4,NeedBasedTradePolicy,34,9,0,4,2
learned_q,Learned Q policy,500007,cooperative,Cooperative,0,CooperativeTradePolicy,40,17,6,2,4
learned_q,Learned Q policy,500007,cooperative,Cooperative,1,CooperativeTradePolicy,33,13,2,3,3
learned_q,Learned Q policy,500007,cooperative,Cooperative,2,CooperativeTradePolicy,14,6,1,1,6
learned_q,Learned Q policy,500007,cooperative,Cooperative,3,CooperativeTradePolicy,15,7,3,0,6
learned_q,Learned Q policy,500007,cooperative,Cooperative,4,CooperativeTradePolicy,14,5,1,1,4
learned_q,Learned Q policy,500007,hoarding,Hoarding,0,HoardingTradePolicy,17,9,2,1,4
learned_q,Learned Q policy,500007,hoarding,Hoarding,1,HoardingTradePolicy,20,6,2,1,8
learned_q,Learned Q policy,500007,hoarding,Hoarding,2,HoardingTradePolicy,14,7,1,1,3
learned_q,Learned Q policy,500007,hoarding,Hoarding,3,HoardingTradePolicy,14,4,1,1,7
learned_q,Learned Q policy,500007,hoarding,Hoarding,4,HoardingTradePolicy,36,10,2,3,6
learned_q,Learned Q policy,500007,mixed,Mixed,0,CooperativeTradePolicy,33,12,2,3,4
learned_q,Learned Q policy,500007,mixed,Mixed,1,SelfishTradePolicy,33,12,1,3,3
learned_q,Learned Q policy,500007,mixed,Mixed,2,HoardingTradePolicy,17,7,2,1,8
learned_q,Learned Q policy,500007,mixed,Mixed,3,CompetitiveTradePolicy,14,5,0,1,8
learned_q,Learned Q policy,500007,mixed,Mixed,4,FairnessSensitiveTradePolicy,38,12,1,4,3
learned_q,Learned Q policy,500007,need_based_to_competitive,Need-based → competitive,0,CompetitiveTradePolicy,36,16,2,3,4
learned_q,Learned Q policy,500007,need_based_to_competitive,Need-based → competitive,1,CompetitiveTradePolicy,22,10,1,2,6
learned_q,Learned Q policy,500007,need_based_to_competitive,Need-based → competitive,2,CompetitiveTradePolicy,14,6,1,1,6
learned_q,Learned Q policy,500007,need_based_to_competitive,Need-based → competitive,3,CompetitiveTradePolicy,9,5,1,0,8
learned_q,Learned Q policy,500007,need_based_to_competitive,Need-based → competitive,4,CompetitiveTradePolicy,20,12,3,1,3
learned_q,Learned Q policy,500007,cooperative_to_hoarding,Cooperative → hoarding,0,HoardingTradePolicy,34,16,4,2,4
learned_q,Learned Q policy,500007,cooperative_to_hoarding,Cooperative → hoarding,1,HoardingTradePolicy,31,12,4,2,6
learned_q,Learned Q policy,500007,cooperative_to_hoarding,Cooperative → hoarding,2,HoardingTradePolicy,6,4,1,0,5
learned_q,Learned Q policy,500007,cooperative_to_hoarding,Cooperative → hoarding,3,HoardingTradePolicy,17,6,1,1,8
learned_q,Learned Q policy,500007,cooperative_to_hoarding,Cooperative → hoarding,4,HoardingTradePolicy,11,5,0,1,5
learned_q,Learned Q policy,500008,need_based,Need-based,0,NeedBasedTradePolicy,14,5,1,1,6
learned_q,Learned Q policy,500008,need_based,Need-based,1,NeedBasedTradePolicy,28,10,2,2,9
learned_q,Learned Q policy,500008,need_based,Need-based,2,NeedBasedTradePolicy,14,6,1,1,6
learned_q,Learned Q policy,500008,need_based,Need-based,3,NeedBasedTradePolicy,25,9,2,2,6
learned_q,Learned Q policy,500008,need_based,Need-based,4,NeedBasedTradePolicy,36,11,2,3,4
learned_q,Learned Q policy,500008,cooperative,Cooperative,0,CooperativeTradePolicy,28,9,1,3,1
learned_q,Learned Q policy,500008,cooperative,Cooperative,1,CooperativeTradePolicy,39,13,3,3,3
learned_q,Learned Q policy,500008,cooperative,Cooperative,2,CooperativeTradePolicy,25,8,1,2,6
learned_q,Learned Q policy,500008,cooperative,Cooperative,3,CooperativeTradePolicy,19,6,0,2,5
learned_q,Learned Q policy,500008,cooperative,Cooperative,4,CooperativeTradePolicy,43,13,0,5,6
learned_q,Learned Q policy,500008,hoarding,Hoarding,0,HoardingTradePolicy,24,9,2,2,2
learned_q,Learned Q policy,500008,hoarding,Hoarding,1,HoardingTradePolicy,30,8,1,3,5
learned_q,Learned Q policy,500008,hoarding,Hoarding,2,HoardingTradePolicy,14,4,0,1,8
learned_q,Learned Q policy,500008,hoarding,Hoarding,3,HoardingTradePolicy,25,8,2,2,7
learned_q,Learned Q policy,500008,hoarding,Hoarding,4,HoardingTradePolicy,17,9,1,1,7
