seed,sweep,sweep_label,restrictive_label,restrictive_count,restrictive_share,condition,condition_label,final_total_score,final_min_score,final_score_gap,final_idle_infrastructure,cumulative_trades_executed
82,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,146,22,15,12,66
83,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,118,9,26,11,85
84,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,119,11,33,8,63
85,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,174,25,27,13,58
86,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,101,9,29,5,54
87,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,127,17,20,3,82
88,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,109,11,27,12,58
89,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,156,6,40,14,74
90,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,116,1,40,20,95
91,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,154,19,23,9,77
92,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,164,11,46,8,84
93,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,120,14,27,12,77
94,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,136,5,54,10,81
95,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,110,6,36,11,76
96,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,102,3,34,10,89
97,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,126,18,14,2,52
98,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,128,12,23,7,50
99,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,122,11,31,10,72
