population,condition,seed,min_agent_score,mean_agent_score,score_sd,bottom_two_mean_score,score_gini
competitive,bilateral_trade,181,3,26.4,15.21315220458929,10.0,0.3242424242424242
competitive,bilateral_trade,182,3,12.8,11.356055653262711,3.0,0.44999999999999996
competitive,bilateral_trade,183,3,14.0,8.602325267042627,4.5,0.34285714285714297
competitive,bilateral_trade,184,5,14.8,12.056533498481228,5.5,0.40000000000000013
competitive,bilateral_trade,185,3,8.0,8.579044235810887,3.0,0.47
competitive,bilateral_trade,186,3,19.2,12.367699866992245,8.5,0.33750000000000013
competitive,bilateral_trade,187,6,20.8,11.634431657799189,7.5,0.3076923076923077
competitive,bilateral_trade,188,6,19.8,7.678541528180987,11.5,0.202020202020202
competitive,bilateral_trade,189,6,15.8,9.282241108697834,8.5,0.30379746835443044
competitive,bilateral_trade,190,3,10.8,6.20966987850401,4.5,0.31851851851851865
competitive,bilateral_trade,191,3,11.0,8.07465169527454,4.5,0.3854545454545455
competitive,bilateral_trade,192,19,27.0,5.403702434442518,22.0,0.10962962962962974
competitive,bilateral_trade,193,6,14.0,6.841052550594828,7.5,0.2628571428571429
competitive,bilateral_trade,194,3,10.2,6.554387843269576,3.0,0.3529411764705883
competitive,bilateral_trade,195,3,8.6,3.8262252939417984,4.5,0.25116279069767455
competitive,bilateral_trade,196,6,20.8,10.419213022104886,10.0,0.27692307692307705
competitive,bilateral_trade,197,9,15.6,4.923413450036469,11.5,0.1692307692307693
competitive,bilateral_trade,198,6,19.0,12.263767773404714,6.0,0.3536842105263158
competitive,bilateral_trade,199,6,18.2,12.639620247459968,7.5,0.3604395604395605
competitive,bilateral_trade_3pass,0,8,19.0,11.260550608207398,8.5,0.3157894736842106
competitive,bilateral_trade_3pass,1,9,23.8,15.157836257197133,13.0,0.3092436974789916
competitive,bilateral_trade_3pass,2,14,21.4,6.019966777316965,15.5,0.15327102803738324
competitive,bilateral_trade_3pass,3,9,18.0,6.603029607687671,10.5,0.20444444444444443
competitive,bilateral_trade_3pass,4,6,21.4,9.046546302318914,12.5,0.22803738317757016
competitive,bilateral_trade_3pass,5,3,19.6,10.55651457631732,8.5,0.3020408163265307
competitive,bilateral_trade_3pass,6,6,15.4,8.333066662399863,9.0,0.2701298701298702
competitive,bilateral_trade_3pass,7,6,16.8,9.15204895091804,7.5,0.30000000000000004
competitive,bilateral_trade_3pass,8,6,18.6,12.467557900406959,6.0,0.3655913978494625
competitive,bilateral_trade_3pass,9,11,19.0,8.78635305459552,12.5,0.22315789473684222
competitive,bilateral_trade_3pass,10,14,24.4,8.114185110040317,15.5,0.18688524590163946
competitive,bilateral_trade_3pass,11,3,19.4,13.46996659238619,6.0,0.3876288659793814
competitive,bilateral_trade_3pass,12,6,16.6,10.26839812239475,8.5,0.3132530120481929
competitive,bilateral_trade_3pass,13,12,21.2,5.491812087098393,15.5,0.1433962264150943
competitive,bilateral_trade_3pass,14,14,25.6,6.829348431585549,18.0,0.14375000000000004
competitive,bilateral_trade_3pass,15,6,16.6,13.499629624548962,7.0,0.3855421686746989
competitive,bilateral_trade_3pass,16,14,25.4,12.338557452149743,14.5,0.258267716535433
competitive,bilateral_trade_3pass,17,6,24.2,17.814600753314682,6.0,0.40000000000000013
competitive,bilateral_trade_3pass,18,10,20.8,8.182909018191515,13.5,0.21153846153846168
competitive,bilateral_trade_3pass,19,6,15.4,8.284926070883191,7.5,0.2961038961038962
competitive,bilateral_trade_3pass,20,14,23.0,12.83744522870497,14.0,0.2643478260869565
competitive,bilateral_trade_3pass,21,11,21.4,11.394735626595292,12.5,0.269158878504673
competitive,bilateral_trade_3pass,22,3,23.8,15.625619987699688,7.0,0.3697478991596639
competitive,bilateral_trade_3pass,23,9,20.6,8.404760555780278,11.5,0.22912621359223295
competitive,bilateral_trade_3pass,24,6,16.0,9.777525249264253,7.5,0.32000000000000006
competitive,bilateral_trade_3pass,25,6,19.0,10.73312629199899,6.0,0.2947368421052632
competitive,bilateral_trade_3pass,26,5,10.2,3.3105890714493698,7.0,0.18039215686274512
