q_state_key,action,training_state_visits,training_action_updates
"1,2,1,3,0,1,0",clearinghouse,2891,233
"1,2,1,3,0,1,0",public_pool,2891,55
"1,2,1,3,0,1,0",subsidized_catch_up,2891,272
"1,2,1,3,0,1,0",central_cap2,2891,40
"1,2,1,3,0,1,0",equity_cap2,2891,53
"1,2,1,3,0,1,0",central_full,2891,0
"1,1,1,3,0,1,3",bilateral_3pass,892,813
"1,1,1,3,0,1,3",clearinghouse,892,0
"1,1,1,3,0,1,3",public_pool,892,0
"1,1,1,3,0,1,3",subsidized_catch_up,892,79
"1,1,1,3,0,1,3",central_cap2,892,0
"1,1,1,3,0,1,3",equity_cap2,892,0
"1,1,1,3,0,1,3",central_full,892,0
"1,2,1,3,1,0,0",bilateral_3pass,456,359
"1,2,1,3,1,0,0",clearinghouse,456,40
"1,2,1,3,1,0,0",public_pool,456,10
"1,2,1,3,1,0,0",subsidized_catch_up,456,32
"1,2,1,3,1,0,0",central_cap2,456,9
"1,2,1,3,1,0,0",equity_cap2,456,6
"1,2,1,3,1,0,0",central_full,456,0
"1,2,2,3,1,1,0",bilateral_3pass,847,644
"1,2,2,3,1,1,0",clearinghouse,847,71
"1,2,2,3,1,1,0",public_pool,847,20
"1,2,2,3,1,1,0",subsidized_catch_up,847,67
"1,2,2,3,1,1,0",central_cap2,847,24
"1,2,2,3,1,1,0",equity_cap2,847,21
"1,2,2,3,1,1,0",central_full,847,0
"2,1,1,3,1,1,3",bilateral_3pass,456,419
"2,1,1,3,1,1,3",clearinghouse,456,0
"2,1,1,3,1,1,3",public_pool,456,0
"2,1,1,3,1,1,3",subsidized_catch_up,456,37
"2,1,1,3,1,1,3",central_cap2,456,0
"2,1,1,3,1,1,3",equity_cap2,456,0
"2,1,1,3,1,1,3",central_full,456,0
"2,2,2,3,2,1,0",bilateral_3pass,400,294
"2,2,2,3,2,1,0",clearinghouse,400,43
"2,2,2,3,2,1,0",public_pool,400,4
"2,2,2,3,2,1,0",subsidized_catch_up,400,40
"2,2,2,3,2,1,0",central_cap2,400,12
"2,2,2,3,2,1,0",equity_cap2,400,7
"2,2,2,3,2,1,0",central_full,400,0
"2,1,2,3,1,1,3",bilateral_3pass,357,319
"2,1,2,3,1,1,3",clearinghouse,357,0
"2,1,2,3,1,1,3",public_pool,357,0
"2,1,2,3,1,1,3",subsidized_catch_up,357,38
"2,1,2,3,1,1,3",central_cap2,357,0
"2,1,2,3,1,1,3",equity_cap2,357,0
"2,1,2,3,1,1,3",central_full,357,0
"2,1,2,3,1,2,0",bilateral_3pass,122,122
"2,1,2,3,1,2,0",clearinghouse,122,0
"2,1,2,3,1,2,0",public_pool,122,0
"2,1,2,3,1,2,0",subsidized_catch_up,122,0
"2,1,2,3,1,2,0",central_cap2,122,0
"2,1,2,3,1,2,0",equity_cap2,122,0
"2,1,2,3,1,2,0",central_full,122,0
"2,2,1,3,1,2,0",bilateral_3pass,757,609
"2,2,1,3,1,2,0",clearinghouse,757,52
"2,2,1,3,1,2,0",public_pool,757,17
"2,2,1,3,1,2,0",subsidized_catch_up,757,44
"2,2,1,3,1,2,0",central_cap2,757,22
"2,2,1,3,1,2,0",equity_cap2,757,13
"2,2,1,3,1,2,0",central_full,757,0
"3,2,2,1,1,2,0",bilateral_3pass,354,267
"3,2,2,1,1,2,0",clearinghouse,354,34
"3,2,2,1,1,2,0",public_pool,354,11
"3,2,2,1,1,2,0",subsidized_catch_up,354,28
"3,2,2,1,1,2,0",central_cap2,354,8
"3,2,2,1,1,2,0",equity_cap2,354,6
"3,2,2,1,1,2,0",central_full,354,0
"3,2,2,1,1,2,1",bilateral_3pass,22,2
"3,2,2,1,1,2,1",clearinghouse,22,19
"3,2,2,1,1,2,1",public_pool,22,0
"3,2,2,1,1,2,1",subsidized_catch_up,22,1
"3,2,2,1,1,2,1",central_cap2,22,0
"3,2,2,1,1,2,1",equity_cap2,22,0
"3,2,2,1,1,2,1",central_full,22,0
"3,2,0,3,1,2,1",bilateral_3pass,16,12
"3,2,0,3,1,2,1",clearinghouse,16,3
"3,2,0,3,1,2,1",public_pool,16,0
"3,2,0,3,1,2,1",subsidized_catch_up,16,1
"3,2,0,3,1,2,1",central_cap2,16,0
"3,2,0,3,1,2,1",equity_cap2,16,0
"3,2,0,3,1,2,1",central_full,16,0
"3,1,1,2,2,2,1",bilateral_3pass,345,325
"3,1,1,2,2,2,1",clearinghouse,345,20
"3,1,1,2,2,2,1",public_pool,345,0
"3,1,1,2,2,2,1",subsidized_catch_up,345,0
"3,1,1,2,2,2,1",central_cap2,345,0
"3,1,1,2,2,2,1",equity_cap2,345,0
"3,1,1,2,2,2,1",central_full,345,0
"0,3,2,3,0,0,0",bilateral_3pass,526,35
"0,3,2,3,0,0,0",clearinghouse,526,26
"0,3,2,3,0,0,0",public_pool,526,372
"0,3,2,3,0,0,0",subsidized_catch_up,526,24
"0,3,2,3,0,0,0",central_cap2,526,20
"0,3,2,3,0,0,0",equity_cap2,526,14
"0,3,2,3,0,0,0",central_full,526,35
"0,3,1,1,0,0,1",bilateral_3pass,305,33
"0,3,1,1,0,0,1",clearinghouse,305,33
"0,3,1,1,0,0,1",public_pool,305,34
"0,3,1,1,0,0,1",subsidized_catch_up,305,136
"0,3,1,1,0,0,1",central_cap2,305,26
"0,3,1,1,0,0,1",equity_cap2,305,25
"0,3,1,1,0,0,1",central_full,305,18
"0,2,0,1,0,0,3",bilateral_3pass,225,10
"0,2,0,1,0,0,3",clearinghouse,225,17
"0,2,0,1,0,0,3",public_pool,225,9
"0,2,0,1,0,0,3",subsidized_catch_up,225,175
"0,2,0,1,0,0,3",central_cap2,225,5
"0,2,0,1,0,0,3",equity_cap2,225,9
"0,2,0,1,0,0,3",central_full,225,0
"0,1,1,1,0,1,4",bilateral_3pass,97,97
"0,1,1,1,0,1,4",clearinghouse,97,0
"0,1,1,1,0,1,4",public_pool,97,0
"0,1,1,1,0,1,4",subsidized_catch_up,97,0
"0,1,1,1,0,1,4",central_cap2,97,0
"0,1,1,1,0,1,4",equity_cap2,97,0
"0,1,1,1,0,1,4",central_full,97,0
"0,2,2,2,0,1,0",bilateral_3pass,545,45
"0,2,2,2,0,1,0",clearinghouse,545,428
"0,2,2,2,0,1,0",public_pool,545,7
"0,2,2,2,0,1,0",subsidized_catch_up,545,44
"0,2,2,2,0,1,0",central_cap2,545,10
"0,2,2,2,0,1,0",equity_cap2,545,11
"0,2,2,2,0,1,0",central_full,545,0
"1,1,1,1,0,0,0",bilateral_3pass,204,204
"1,1,1,1,0,0,0",clearinghouse,204,0
"1,1,1,1,0,0,0",public_pool,204,0
"1,1,1,1,0,0,0",subsidized_catch_up,204,0
"1,1,1,1,0,0,0",central_cap2,204,0
"1,1,1,1,0,0,0",equity_cap2,204,0
"1,1,1,1,0,0,0",central_full,204,0
"1,1,1,3,1,1,1",bilateral_3pass,275,261
"1,1,1,3,1,1,1",clearinghouse,275,14
"1,1,1,3,1,1,1",public_pool,275,0
"1,1,1,3,1,1,1",subsidized_catch_up,275,0
"1,1,1,3,1,1,1",central_cap2,275,0
"1,1,1,3,1,1,1",equity_cap2,275,0
"1,1,1,3,1,1,1",central_full,275,0
"1,1,1,2,1,1,0",bilateral_3pass,283,283
"1,1,1,2,1,1,0",clearinghouse,283,0
"1,1,1,2,1,1,0",public_pool,283,0
"1,1,1,2,1,1,0",subsidized_catch_up,283,0
"1,1,1,2,1,1,0",central_cap2,283,0
"1,1,1,2,1,1,0",equity_cap2,283,0
"1,1,1,2,1,1,0",central_full,283,0
"2,2,1,3,1,0,0",bilateral_3pass,272,211
"2,2,1,3,1,0,0",clearinghouse,272,25
"2,2,1,3,1,0,0",public_pool,272,5
"2,2,1,3,1,0,0",subsidized_catch_up,272,17
"2,2,1,3,1,0,0",central_cap2,272,10
"2,2,1,3,1,0,0",equity_cap2,272,4
"2,2,1,3,1,0,0",central_full,272,0
"2,1,2,2,2,0,3",bilateral_3pass,39,32
"2,1,2,2,2,0,3",clearinghouse,39,0
"2,1,2,2,2,0,3",public_pool,39,0
"2,1,2,2,2,0,3",subsidized_catch_up,39,7
"2,1,2,2,2,0,3",central_cap2,39,0
"2,1,2,2,2,0,3",equity_cap2,39,0
"2,1,2,2,2,0,3",central_full,39,0
"2,1,2,2,2,1,0",bilateral_3pass,119,119
"2,1,2,2,2,1,0",clearinghouse,119,0
"2,1,2,2,2,1,0",public_pool,119,0
"2,1,2,2,2,1,0",subsidized_catch_up,119,0
"2,1,2,2,2,1,0",central_cap2,119,0
"2,1,2,2,2,1,0",equity_cap2,119,0
"2,1,2,2,2,1,0",central_full,119,0
"2,2,1,2,2,0,0",bilateral_3pass,93,70
"2,2,1,2,2,0,0",clearinghouse,93,10
"2,2,1,2,2,0,0",public_pool,93,1
"2,2,1,2,2,0,0",subsidized_catch_up,93,8
"2,2,1,2,2,0,0",central_cap2,93,1
"2,2,1,2,2,0,0",equity_cap2,93,3
"2,2,1,2,2,0,0",central_full,93,0
"2,2,1,3,2,0,0",bilateral_3pass,154,130
"2,2,1,3,2,0,0",clearinghouse,154,8
"2,2,1,3,2,0,0",public_pool,154,2
"2,2,1,3,2,0,0",subsidized_catch_up,154,7
"2,2,1,3,2,0,0",central_cap2,154,5
"2,2,1,3,2,0,0",equity_cap2,154,2
"2,2,1,3,2,0,0",central_full,154,0
"3,1,1,3,2,1,4",bilateral_3pass,66,66
"3,1,1,3,2,1,4",clearinghouse,66,0
"3,1,1,3,2,1,4",public_pool,66,0
"3,1,1,3,2,1,4",subsidized_catch_up,66,0
"3,1,1,3,2,1,4",central_cap2,66,0
"3,1,1,3,2,1,4",equity_cap2,66,0
"3,1,1,3,2,1,4",central_full,66,0
"3,2,0,3,2,1,0",bilateral_3pass,777,80
"3,2,0,3,2,1,0",clearinghouse,777,574
"3,2,0,3,2,1,0",public_pool,777,18
"3,2,0,3,2,1,0",subsidized_catch_up,777,69
"3,2,0,3,2,1,0",central_cap2,777,16
"3,2,0,3,2,1,0",equity_cap2,777,20
"3,2,0,3,2,1,0",central_full,777,0
"3,1,0,3,2,1,3",bilateral_3pass,124,115
"3,1,0,3,2,1,3",clearinghouse,124,0
"3,1,0,3,2,1,3",public_pool,124,0
"3,1,0,3,2,1,3",subsidized_catch_up,124,9
"3,1,0,3,2,1,3",central_cap2,124,0
"3,1,0,3,2,1,3",equity_cap2,124,0
"3,1,0,3,2,1,3",central_full,124,0
"3,1,2,2,2,0,0",bilateral_3pass,34,34
"3,1,2,2,2,0,0",clearinghouse,34,0
"3,1,2,2,2,0,0",public_pool,34,0
"3,1,2,2,2,0,0",subsidized_catch_up,34,0
"3,1,2,2,2,0,0",central_cap2,34,0
"3,1,2,2,2,0,0",equity_cap2,34,0
"3,1,2,2,2,0,0",central_full,34,0
"0,3,2,1,0,0,0",bilateral_3pass,5395,243
"0,3,2,1,0,0,0",clearinghouse,5395,251
"0,3,2,1,0,0,0",public_pool,5395,3864
"0,3,2,1,0,0,0",subsidized_catch_up,5395,256
"0,3,2,1,0,0,0",central_cap2,5395,297
"0,3,2,1,0,0,0",equity_cap2,5395,244
"0,3,2,1,0,0,0",central_full,5395,240
"0,2,1,2,0,0,6",bilateral_3pass,367,30
"0,2,1,2,0,0,6",clearinghouse,367,268
"0,2,1,2,0,0,6",public_pool,367,17
"0,2,1,2,0,0,6",subsidized_catch_up,367,17
"0,2,1,2,0,0,6",central_cap2,367,14
"0,2,1,2,0,0,6",equity_cap2,367,14
"0,2,1,2,0,0,6",central_full,367,7
"0,2,1,1,0,0,1",bilateral_3pass,686,533
"0,2,1,1,0,0,1",clearinghouse,686,54
"0,2,1,1,0,0,1",public_pool,686,15
"0,2,1,1,0,0,1",subsidized_catch_up,686,54
"0,2,1,1,0,0,1",central_cap2,686,14
"0,2,1,1,0,0,1",equity_cap2,686,16
"0,2,1,1,0,0,1",central_full,686,0
"0,1,1,1,0,0,3",bilateral_3pass,445,398
"0,1,1,1,0,0,3",clearinghouse,445,0
"0,1,1,1,0,0,3",public_pool,445,0
"0,1,1,1,0,0,3",subsidized_catch_up,445,47
"0,1,1,1,0,0,3",central_cap2,445,0
"0,1,1,1,0,0,3",equity_cap2,445,0
"0,1,1,1,0,0,3",central_full,445,0
"0,1,1,2,0,1,0",bilateral_3pass,330,330
"0,1,1,2,0,1,0",clearinghouse,330,0
