baseline_policy,scenario,metric,n_pairs,target_policy,mean_learned_minus_baseline,mean_target_minus_baseline,ci95_low,ci95_high,seed_clustered_ci95_low,seed_clustered_ci95_high,share_target_higher,share_learned_higher
permanent_bilateral_3pass,hoarding,final_score_gap,100,learned_q,-3.79,-3.79,-6.09,-1.4490000000000054,-6.09,-1.4490000000000054,0.38,0.38
permanent_bilateral_3pass,hoarding,gini_score,100,learned_q,-0.05884832792054374,-0.05884832792054374,-0.08030818476209417,-0.037927776186005735,-0.08030818476209417,-0.037927776186005735,0.33,0.33
permanent_bilateral_3pass,hoarding,final_welfare,100,learned_q,2.1954999999999996,2.1954999999999996,1.3592499999999998,3.0490250000000008,1.3592499999999998,3.0490250000000008,0.66,0.66
permanent_bilateral_3pass,hoarding,cumulative_capacity_cost,100,learned_q,25.27,25.27,25.03,25.48,25.03,25.48,1.0,1.0
permanent_bilateral_3pass,mixed,final_total_score,100,learned_q,4.39,4.39,0.07975000000000002,8.93025,0.07975000000000002,8.93025,0.57,0.57
permanent_bilateral_3pass,mixed,final_mean_score,100,learned_q,0.878,0.878,-0.04205000000000019,1.7720499999999995,-0.04205000000000019,1.7720499999999995,0.57,0.57
permanent_bilateral_3pass,mixed,final_min_score,100,learned_q,1.12,1.12,0.009750000000000014,2.230499999999997,0.009750000000000014,2.230499999999997,0.5,0.5
permanent_bilateral_3pass,mixed,bottom_two_mean_score,100,learned_q,1.4,1.4,0.544875,2.360124999999999,0.544875,2.360124999999999,0.6,0.6
permanent_bilateral_3pass,mixed,final_score_gap,100,learned_q,-1.67,-1.67,-3.72,0.39024999999999865,-3.72,0.39024999999999865,0.39,0.39
permanent_bilateral_3pass,mixed,gini_score,100,learned_q,-0.030579340511551756,-0.030579340511551756,-0.048891215016987705,-0.013070169650487032,-0.048891215016987705,-0.013070169650487032,0.34,0.34
permanent_bilateral_3pass,mixed,final_welfare,100,learned_q,0.9384999999999999,0.9384999999999999,0.10242500000000036,1.7626249999999992,0.10242500000000036,1.7626249999999992,0.63,0.63
permanent_bilateral_3pass,mixed,cumulative_capacity_cost,100,learned_q,24.65,24.65,24.37,24.93,24.37,24.93,1.0,1.0
permanent_bilateral_3pass,need_based_to_competitive,final_total_score,100,learned_q,1.58,1.58,-2.69,5.960999999999994,-2.69,5.960999999999994,0.49,0.49
permanent_bilateral_3pass,need_based_to_competitive,final_mean_score,100,learned_q,0.3160000000000002,0.3160000000000002,-0.5961999999999997,1.1360500000000002,-0.5961999999999997,1.1360500000000002,0.49,0.49
permanent_bilateral_3pass,need_based_to_competitive,final_min_score,100,learned_q,1.88,1.88,0.67,3.08,0.67,3.08,0.6,0.6
permanent_bilateral_3pass,need_based_to_competitive,bottom_two_mean_score,100,learned_q,1.375,1.375,0.3,2.4003749999999977,0.3,2.4003749999999977,0.6,0.6
permanent_bilateral_3pass,need_based_to_competitive,final_score_gap,100,learned_q,-2.36,-2.36,-4.31,-0.2895000000000027,-4.31,-0.2895000000000027,0.39,0.39
permanent_bilateral_3pass,need_based_to_competitive,gini_score,100,learned_q,-0.025360847873963567,-0.025360847873963567,-0.044580764786123696,-0.006919343404904405,-0.044580764786123696,-0.006919343404904405,0.35,0.35
permanent_bilateral_3pass,need_based_to_competitive,final_welfare,100,learned_q,0.7070000000000002,0.7070000000000002,-0.19508749999999977,1.6190375000000001,-0.19508749999999977,1.6190375000000001,0.57,0.57
permanent_bilateral_3pass,need_based_to_competitive,cumulative_capacity_cost,100,learned_q,24.81,24.81,24.57,25.05,24.57,25.05,1.0,1.0
permanent_bilateral_3pass,cooperative_to_hoarding,final_total_score,100,learned_q,3.44,3.44,-1.71025,8.74,-1.71025,8.74,0.58,0.58
permanent_bilateral_3pass,cooperative_to_hoarding,final_mean_score,100,learned_q,0.6880000000000002,0.6880000000000002,-0.40005,1.7780499999999997,-0.40005,1.7780499999999997,0.58,0.58
permanent_bilateral_3pass,cooperative_to_hoarding,final_min_score,100,learned_q,1.0,1.0,-0.15,2.19,-0.15,2.19,0.45,0.45
permanent_bilateral_3pass,cooperative_to_hoarding,bottom_two_mean_score,100,learned_q,1.055,1.055,-0.140125,2.225,-0.140125,2.225,0.55,0.55
permanent_bilateral_3pass,cooperative_to_hoarding,final_score_gap,100,learned_q,-1.45,-1.45,-3.65,0.8602499999999986,-3.65,0.8602499999999986,0.46,0.46
permanent_bilateral_3pass,cooperative_to_hoarding,gini_score,100,learned_q,-0.020265994096447068,-0.020265994096447068,-0.042474944833502365,0.0027234341688507574,-0.042474944833502365,0.0027234341688507574,0.44,0.44
permanent_bilateral_3pass,cooperative_to_hoarding,final_welfare,100,learned_q,0.7660000000000001,0.7660000000000001,-0.2371500000000003,1.7685000000000002,-0.2371500000000003,1.7685000000000002,0.58,0.58
permanent_bilateral_3pass,cooperative_to_hoarding,cumulative_capacity_cost,100,learned_q,25.09,25.09,24.83,25.34,24.83,25.34,1.0,1.0
random_feasible,ALL,final_total_score,600,learned_q,0.43666666666666665,0.43666666666666665,-1.4900416666666667,2.3433749999999995,-2.0267500000000003,2.8500416666666664,0.5,0.5
random_feasible,ALL,final_mean_score,600,learned_q,0.08733333333333322,0.08733333333333322,-0.295025,0.4677083333333332,-0.4010000000000001,0.5643499999999997,0.5,0.5
random_feasible,ALL,final_min_score,600,learned_q,0.2833333333333333,0.2833333333333333,-0.233375,0.7667083333333331,-0.31333333333333335,0.8766666666666667,0.45166666666666666,0.45166666666666666
random_feasible,ALL,bottom_two_mean_score,600,learned_q,0.2991666666666667,0.2991666666666667,-0.14752083333333332,0.7316874999999999,-0.24585416666666662,0.8291874999999997,0.505,0.505
random_feasible,ALL,final_score_gap,600,learned_q,-0.93,-0.93,-1.8001666666666667,-0.03316666666666757,-2.0433333333333334,0.1783749999999994,0.43333333333333335,0.43333333333333335
