branch_state_id,base_game_id,seed,scenario,round,continuation_policy,comparison,selection_best_action,selection_second_action,q_chosen_action,mean_difference,ci95_low,ci95_high,ci_excludes_zero,paired_eval_replications,q_equals_selection_best
9,3,700002,need_based,16,permanent_bilateral_3pass,q_chosen_minus_bilateral,bilateral_3pass,central_cap2,bilateral_3pass,0.0,0.0,0.0,0,20,1
9,3,700002,need_based,16,random_feasible,selected_best_minus_selected_second,clearinghouse,subsidized_catch_up,bilateral_3pass,0.7625,-1.6862499999999998,2.5500000000000025,0,20,0
9,3,700002,need_based,16,random_feasible,selected_best_minus_q_chosen,clearinghouse,subsidized_catch_up,bilateral_3pass,0.8675,-1.1500000000000021,2.5500000000000025,0,20,0
9,3,700002,need_based,16,random_feasible,selected_best_minus_bilateral,clearinghouse,subsidized_catch_up,bilateral_3pass,0.8675,-1.1500000000000021,2.5500000000000025,0,20,0
9,3,700002,need_based,16,random_feasible,q_chosen_minus_bilateral,clearinghouse,subsidized_catch_up,bilateral_3pass,0.0,0.0,0.0,0,20,0
10,4,700100,cooperative,3,learned_q,selected_best_minus_selected_second,clearinghouse,bilateral_3pass,bilateral_3pass,0.45000000000000284,0.45000000000000284,0.45000000000000284,1,20,0
10,4,700100,cooperative,3,learned_q,selected_best_minus_q_chosen,clearinghouse,bilateral_3pass,bilateral_3pass,0.45000000000000284,0.45000000000000284,0.45000000000000284,1,20,0
10,4,700100,cooperative,3,learned_q,selected_best_minus_bilateral,clearinghouse,bilateral_3pass,bilateral_3pass,0.45000000000000284,0.45000000000000284,0.45000000000000284,1,20,0
10,4,700100,cooperative,3,learned_q,q_chosen_minus_bilateral,clearinghouse,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,0
10,4,700100,cooperative,3,permanent_bilateral_3pass,selected_best_minus_selected_second,bilateral_3pass,clearinghouse,bilateral_3pass,0.7000000000000028,0.7000000000000028,0.7000000000000028,1,20,1
10,4,700100,cooperative,3,permanent_bilateral_3pass,selected_best_minus_q_chosen,bilateral_3pass,clearinghouse,bilateral_3pass,0.0,0.0,0.0,0,20,1
10,4,700100,cooperative,3,permanent_bilateral_3pass,selected_best_minus_bilateral,bilateral_3pass,clearinghouse,bilateral_3pass,0.0,0.0,0.0,0,20,1
10,4,700100,cooperative,3,permanent_bilateral_3pass,q_chosen_minus_bilateral,bilateral_3pass,clearinghouse,bilateral_3pass,0.0,0.0,0.0,0,20,1
10,4,700100,cooperative,3,random_feasible,selected_best_minus_selected_second,clearinghouse,bilateral_3pass,bilateral_3pass,-0.2650000000000007,-8.926250000000001,7.594999999999998,0,20,0
10,4,700100,cooperative,3,random_feasible,selected_best_minus_q_chosen,clearinghouse,bilateral_3pass,bilateral_3pass,-0.2650000000000007,-8.926250000000001,7.594999999999998,0,20,0
10,4,700100,cooperative,3,random_feasible,selected_best_minus_bilateral,clearinghouse,bilateral_3pass,bilateral_3pass,-0.2650000000000007,-8.926250000000001,7.594999999999998,0,20,0
10,4,700100,cooperative,3,random_feasible,q_chosen_minus_bilateral,clearinghouse,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,0
11,4,700100,cooperative,10,learned_q,selected_best_minus_selected_second,public_pool,central_cap2,clearinghouse,2.1499999999999986,2.1499999999999986,2.1499999999999986,1,20,0
11,4,700100,cooperative,10,learned_q,selected_best_minus_q_chosen,public_pool,central_cap2,clearinghouse,5.0,5.0,5.0,1,20,0
11,4,700100,cooperative,10,learned_q,selected_best_minus_bilateral,public_pool,central_cap2,clearinghouse,6.65,6.649999999999999,6.649999999999999,1,20,0
11,4,700100,cooperative,10,learned_q,q_chosen_minus_bilateral,public_pool,central_cap2,clearinghouse,1.6499999999999986,1.6499999999999986,1.6499999999999986,1,20,0
11,4,700100,cooperative,10,permanent_bilateral_3pass,selected_best_minus_selected_second,public_pool,central_cap2,clearinghouse,4.1,4.100000000000001,4.100000000000001,1,20,0
11,4,700100,cooperative,10,permanent_bilateral_3pass,selected_best_minus_q_chosen,public_pool,central_cap2,clearinghouse,8.65,8.649999999999999,8.649999999999999,1,20,0
11,4,700100,cooperative,10,permanent_bilateral_3pass,selected_best_minus_bilateral,public_pool,central_cap2,clearinghouse,8.3,8.299999999999997,8.299999999999997,1,20,0
11,4,700100,cooperative,10,permanent_bilateral_3pass,q_chosen_minus_bilateral,public_pool,central_cap2,clearinghouse,-0.3500000000000014,-0.3500000000000014,-0.3500000000000014,1,20,0
11,4,700100,cooperative,10,random_feasible,selected_best_minus_selected_second,public_pool,central_cap2,clearinghouse,1.5024999999999988,-4.557500000000004,6.305000000000001,0,20,0
11,4,700100,cooperative,10,random_feasible,selected_best_minus_q_chosen,public_pool,central_cap2,clearinghouse,2.487499999999999,-2.2800000000000002,9.493749999999993,0,20,0
11,4,700100,cooperative,10,random_feasible,selected_best_minus_bilateral,public_pool,central_cap2,clearinghouse,3.9525000000000006,-3.7662499999999977,8.931249999999997,0,20,0
11,4,700100,cooperative,10,random_feasible,q_chosen_minus_bilateral,public_pool,central_cap2,clearinghouse,1.465000000000001,-3.4024999999999985,6.528750000000002,0,20,0
12,4,700100,cooperative,16,learned_q,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,learned_q,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,learned_q,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,learned_q,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,permanent_bilateral_3pass,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,permanent_bilateral_3pass,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,permanent_bilateral_3pass,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,permanent_bilateral_3pass,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,random_feasible,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,random_feasible,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,random_feasible,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
12,4,700100,cooperative,16,random_feasible,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,learned_q,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,learned_q,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,learned_q,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,learned_q,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,permanent_bilateral_3pass,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,permanent_bilateral_3pass,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,permanent_bilateral_3pass,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,permanent_bilateral_3pass,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,random_feasible,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,random_feasible,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,random_feasible,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
13,5,700101,cooperative,3,random_feasible,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
14,5,700101,cooperative,10,learned_q,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
14,5,700101,cooperative,10,learned_q,selected_best_minus_q_chosen,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
14,5,700101,cooperative,10,learned_q,selected_best_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
14,5,700101,cooperative,10,learned_q,q_chosen_minus_bilateral,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
14,5,700101,cooperative,10,permanent_bilateral_3pass,selected_best_minus_selected_second,bilateral_3pass,bilateral_3pass,bilateral_3pass,0.0,0.0,0.0,0,20,1
